,index,ia_timeout,start_time,date,hour,weekday,daytype,origin_id,destination_id,driving_distance,euclidean_distance,duration,end_time,req_id,soc_delta,welltotank_kwh,tanktowheel_kwh,soc_delta_kwh,welltotank_emissions,tanktowheel_emissions,co2_emissions,req_origin_id,req_destination_id,start_soc,plate,end_soc
111,0,16.088421,2023-01-02 12:01:31.472440+00:00,2023-01-02,12,0,generic_day,0,1,1000,714.2857142857143,3000,2023-01-02 12:51:31.472440+00:00,147,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,1,80.0,1,70.0
112,3,12.958871,2023-01-02 13:00:44.431311+00:00,2023-01-02,13,0,generic_day,3,0,1000,714.2857142857143,3000,2023-01-02 13:50:44.431311+00:00,148,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,3,0,80.0,3,70.0
113,0,11.969775,2023-01-02 13:00:56.401086+00:00,2023-01-02,13,0,generic_day,0,1,1000,714.2857142857143,3000,2023-01-02 13:50:56.401086+00:00,149,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,1,50.0,0,40.0
114,1,2.745972,2023-01-02 13:01:17.262100+00:00,2023-01-02,13,0,generic_day,1,2,1000,714.2857142857143,3000,2023-01-02 13:51:17.262100+00:00,151,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,1,2,70.0,1,60.0
115,2,32.637111,2023-01-02 14:00:51.246312+00:00,2023-01-02,14,0,generic_day,2,3,1000,714.2857142857143,3000,2023-01-02 14:50:51.246312+00:00,153,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,2,3,100.0,2,90.0
116,0,1.433073,2023-01-02 14:01:04.681021+00:00,2023-01-02,14,0,generic_day,0,1,1000,714.2857142857143,3000,2023-01-02 14:51:04.681021+00:00,155,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,1,70.0,3,60.0
117,2,2.684135,2023-01-02 15:00:07.365156+00:00,2023-01-02,15,0,generic_day,2,3,1000,714.2857142857143,3000,2023-01-02 15:50:07.365156+00:00,156,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,2,3,60.0,1,50.0
118,3,2.975502,2023-01-02 15:00:10.340658+00:00,2023-01-02,15,0,generic_day,3,0,1000,714.2857142857143,3000,2023-01-02 15:50:10.340658+00:00,157,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,3,0,90.0,2,80.0
119,1,30.034641,2023-01-02 15:00:50.102470+00:00,2023-01-02,15,0,generic_day,1,2,1000,714.2857142857143,3000,2023-01-02 15:50:50.102470+00:00,159,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,1,2,100.0,0,90.0
120,3,18.227697,2023-01-02 16:01:08.330167+00:00,2023-01-02,16,0,generic_day,3,0,1000,714.2857142857143,3000,2023-01-02 16:51:08.330167+00:00,160,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,3,0,50.0,1,40.0
